transaction_id,order_id,transaction_date,customer_id,amount,currency,payment_method,transaction_status,settlement_status,settlement_amount
TXN00001,ORD00001,2026-08-01,CUST1082,299,INR,NETBANKING,SUCCESS,SETTLED,299
TXN00002,ORD00002,2026-08-22,CUST1018,299,INR,UPI,REFUNDED,SETTLED,299
TXN00003,ORD00003,2026-08-01,CUST1055,199,INR,UPI,SUCCESS,SETTLED,199
TXN00004,ORD00004,2026-08-01,CUST1065,4999,INR,CARD,REFUNDED,SETTLED,4999
TXN00005,ORD00005,2026-08-15,CUST1054,799,INR,NETBANKING,SUCCESS,SETTLED,799
TXN00006,ORD00006,2026-08-11,CUST1090,1999,INR,NETBANKING,SUCCESS,SETTLED,1999
TXN00007,ORD00007,2026-08-04,CUST1098,1499,INR,UPI,FAILED,NOT_SETTLED,0
TXN00008,ORD00008,2026-08-28,CUST1013,1499,INR,NETBANKING,REFUNDED,SETTLED,1599
TXN00009,ORD00009,2026-08-24,CUST1034,199,INR,WALLET,REFUNDED,SETTLED,199
TXN00010,ORD00010,2026-08-03,CUST1016,1999,INR,NETBANKING,REFUNDED,SETTLED,1999
TXN00011,ORD00011,2026-08-07,CUST1047,4999,INR,UPI,SUCCESS,PENDING,0
TXN00012,ORD00012,2026-08-03,CUST1030,999,INR,CARD,SUCCESS,SETTLED,999
TXN00013,ORD00013,2026-08-21,CUST1036,2499,INR,NETBANKING,SUCCESS,SETTLED,2499
TXN00014,ORD00014,2026-08-22,CUST1046,799,INR,NETBANKING,SUCCESS,PENDING,0
TXN00015,ORD00015,2026-08-18,CUST1082,499,INR,CARD,SUCCESS,SETTLED,499
TXN00016,ORD00016,2026-08-21,CUST1049,999,INR,CARD,SUCCESS,SETTLED,999
TXN00017,ORD00017,2026-08-26,CUST1030,199,INR,NETBANKING,FAILED,NOT_SETTLED,0
TXN00018,ORD00018,2026-08-07,CUST1035,299,INR,NETBANKING,SUCCESS,PENDING,0
TXN00019,ORD00019,2026-08-21,CUST1064,1999,INR,WALLET,SUCCESS,SETTLED,2249
TXN00020,ORD00020,2026-08-24,CUST1018,799,INR,NETBANKING,REFUNDED,SETTLED,799
TXN00021,ORD00021,2026-08-13,CUST1055,4999,INR,NETBANKING,SUCCESS,SETTLED,4999
TXN00022,ORD00022,2026-08-03,CUST1066,2499,INR,UPI,SUCCESS,SETTLED,2499
TXN00023,ORD00023,2026-08-26,CUST1081,499,INR,WALLET,REFUNDED,SETTLED,499
TXN00024,ORD00024,2026-08-13,CUST1009,1999,INR,WALLET,REFUNDED,SETTLED,1999
TXN00025,ORD00025,2026-08-28,CUST1033,2999,INR,UPI,SUCCESS,PENDING,0
TXN00026,ORD00026,2026-08-25,CUST1069,999,INR,NETBANKING,SUCCESS,SETTLED,999
